"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi13g01256","Vitvi13g01256","6 x 24","Riesl_freeze_r3","Vitvi13g01256","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi13g01429","Vitvi13g01429","25 x 35","Sangio_acclim_r1","Vitvi13g01429","Binding to a metal ion."
"Vitvi14g00075","Vitvi14g00075","29 x 19","Tocai_freeze_r1","Vitvi14g00075","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00122","Vitvi14g00122","10 x 30","Tocai_accfreeze_r3","Vitvi14g00122","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g00632","Vitvi14g00632","10 x 21","Sangio_accfreeze_r1","Vitvi14g00632","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01227","Vitvi14g01227","14 x 35","Chard_freeze_r2","Vitvi14g01227","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01418","Vitvi14g01418","10 x 25","Riesl_freeze_r3","Vitvi14g01418","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi14g01340","Vitvi14g01340","38 x 6","Sangio_warm_r3","Vitvi14g01340","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi15g00613","Vitvi15g00613","7 x 40","Sangio_accfreeze_r2","Vitvi15g00613","A protein complex providing a discrete opening in the nuclear envelope of a eukaryotic cell, where the inner and outer nuclear membranes are joined."
"Vitvi15g01571","Vitvi15g01571","8 x 27","Sangio_acclim_r2","Vitvi15g01571","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi16g00155","Vitvi16g00155","38 x 15","Tocai_warm_r3","Vitvi16g00155","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01394","Vitvi16g01394","18 x 27","Riesl_freeze_r3","Vitvi16g01394","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00101","Vitvi17g00101","21 x 21","CabFra_freeze_r1","Vitvi17g00101","Catalysis of the activation of small proteins, such as ubiquitin or ubiquitin-like proteins, through the formation of an ATP-dependent high-energy thiolester bond."
"Vitvi17g00728","Vitvi17g00728","11 x 26","Sangio_accfreeze_r1","Vitvi17g00728","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi18g00171","Vitvi18g00171","1 x 40","Chard_accfreeze_r1","Vitvi18g00171","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"Vitvi18g01069","Vitvi18g01069","11 x 34","CabFra_freeze_r1","Vitvi18g01069","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g01277","Vitvi18g01277","32 x 13","Tocai_freeze_r1","Vitvi18g01277","Binding to a metal ion."
"Vitvi19g00251","Vitvi19g00251","12 x 33","Tocai_accfreeze_r3","Vitvi19g00251",""
