"AffyID","EnsemblID","Metagene","Max.expression.sample","GeneSymbol","Description"
"Vitvi08g01919","Vitvi08g01919","39 x 11","Riesl_freeze_r1","Vitvi08g01919","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00031","Vitvi09g00031","5 x 14","CabFra_accfreeze_r3","Vitvi09g00031","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00108","Vitvi09g00108","4 x 40","Riesl_accfreeze_r3","Vitvi09g00108","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00323","Vitvi09g00323","30 x 37","Riesl_acclim_r1","Vitvi09g00323","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g01269","Vitvi09g01269","38 x 39","Sangio_warm_r3","Vitvi09g01269","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g01474","Vitvi09g01474","5 x 24","Tocai_accfreeze_r2","Vitvi09g01474","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi10g00521","Vitvi10g00521","1 x 6","Sangio_freeze_r1","Vitvi10g00521","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01466","Vitvi10g01466","36 x 30","Chard_warm_r1","Vitvi10g01466","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01594","Vitvi10g01594","1 x 3","CabFra_accfreeze_r3","Vitvi10g01594","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g02053","Vitvi10g02053","12 x 36","Sangio_accfreeze_r2","Vitvi10g02053","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g00285","Vitvi11g00285","11 x 1","Chard_freeze_r1","Vitvi11g00285","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00678","Vitvi11g00678","16 x 23","CabFra_freeze_r1","Vitvi11g00678","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi11g01231","Vitvi11g01231","37 x 27","Tocai_warm_r3","Vitvi11g01231","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00274","Vitvi12g00274","1 x 1","Riesl_freeze_r1","Vitvi12g00274","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00451","Vitvi12g00451","11 x 11","CabFra_accfreeze_r3","Vitvi12g00451","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00664","Vitvi12g00664","4 x 34","Sangio_accfreeze_r1","Vitvi12g00664","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi12g02018","Vitvi12g02018","25 x 15","CabFra_warm_r3","Vitvi12g02018","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi13g00529","Vitvi13g00529","3 x 39","Chard_accfreeze_r3","Vitvi13g00529","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi13g01126","Vitvi13g01126","1 x 35","Tocai_accfreeze_r2","Vitvi13g01126","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi14g01439","Vitvi14g01439","1 x 4","Tocai_accfreeze_r3","Vitvi14g01439","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00863","Vitvi15g00863","15 x 4","Riesl_freeze_r1","Vitvi15g00863","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g00947","Vitvi15g00947","38 x 40","Chard_acclim_r1","Vitvi15g00947","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi15g01090","Vitvi15g01090","3 x 2","Chard_freeze_r1","Vitvi15g01090","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00349","Vitvi16g00349","4 x 7","Tocai_warm_r1","Vitvi16g00349","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00350","Vitvi16g00350","34 x 5","Riesl_warm_r2","Vitvi16g00350","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00362","Vitvi16g00362","1 x 1","Chard_freeze_r2","Vitvi16g00362","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00363","Vitvi16g00363","1 x 16","Chard_freeze_r2","Vitvi16g00363","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00370","Vitvi16g00370","12 x 1","Chard_freeze_r2","Vitvi16g00370","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g00380","Vitvi16g00380","1 x 1","Chard_freeze_r2","Vitvi16g00380","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi16g01424","Vitvi16g01424","1 x 1","Riesl_freeze_r2","Vitvi16g01424","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
