new,old,loc
Vitvi00g00241,VIT_00s0238g00070,LOC100251637
Vitvi00g00244,VIT_00s0238g00080,LOC100263630
Vitvi00g00244,VIT_00s0238g00080,LOC104878225
Vitvi00g00245,VIT_00s0238g00090,LOC100248210
Vitvi00g00245,VIT_00s0238g00090,LOC104877417
Vitvi00g00246,,LOC104878226
Vitvi00g00247,VIT_00s0238g00130,LOC100251718
Vitvi00g00247,VIT_00s0238g00120,LOC100251718
Vitvi00g00251,VIT_00s0239g00030,
Vitvi00g00252,VIT_00s0239g00070,
Vitvi00g00255,VIT_00s0239g00110,LOC104878227
Vitvi00g00257,VIT_00s0240g00020,LOC100257597
Vitvi00g00257,VIT_00s0240g00010,LOC100257597
Vitvi00g00261,VIT_00s0240g00050,LOC100259478
Vitvi00g00264,VIT_00s0240g00060,
Vitvi00g00269,,LOC104878233
Vitvi00g00276,VIT_00s0245g00030,
Vitvi00g00279,VIT_00s0245g00050,LOC100248960
Vitvi00g00280,VIT_00s0245g00070,LOC100245554
Vitvi00g00281,,LOC100259099
Vitvi00g00283,VIT_00s0246g00010,
Vitvi00g00286,VIT_00s0246g00050,LOC104878235
Vitvi00g00288,VIT_00s0246g00060,LOC104878236
Vitvi00g00289,VIT_00s0246g00080,
Vitvi00g00290,VIT_00s0246g00100,
Vitvi00g00292,VIT_00s0246g00140,
Vitvi00g00293,VIT_00s0246g00210,LOC104878237
Vitvi00g00295,VIT_00s0246g00220,
Vitvi00g00296,VIT_00s0246g00230,LOC104878239
Vitvi00g00299,VIT_00s0251g00050,
Vitvi00g00305,VIT_00s0254g00040,LOC104878244
Vitvi00g00309,,LOC104878246
Vitvi00g00310,VIT_00s0256g00060,
Vitvi00g00311,VIT_00s0256g00080,
Vitvi00g00317,VIT_00s0258g00080,
Vitvi00g00317,VIT_00s0258g00070,
Vitvi00g00319,VIT_00s0258g00120,LOC100853690
Vitvi00g00321,VIT_00s0260g00050,
Vitvi00g00323,VIT_00s0260g00060,LOC104878258
Vitvi00g00323,VIT_00s0260g00060,LOC100245185
Vitvi00g00325,VIT_00s0260g00070,LOC104878259
Vitvi00g00328,VIT_00s0262g00010,LOC100854625
Vitvi00g00329,VIT_00s0262g00020,
Vitvi00g00330,VIT_00s0262g00030,
Vitvi00g00332,VIT_00s0262g00080,LOC100258769
Vitvi00g00333,VIT_00s0262g00110,
Vitvi00g00335,VIT_00s0262g00120,LOC104878262
Vitvi00g00336,VIT_00s0262g00150,
Vitvi00g00337,VIT_00s0262g00160,
Vitvi00g00337,VIT_00s0262g00170,
Vitvi00g00339,VIT_00s0266g00010,LOC100852776
Vitvi00g00340,VIT_00s0266g00030,
Vitvi00g00341,,LOC104878270
Vitvi00g00342,VIT_00s0266g00090,LOC100852859
Vitvi00g00344,,LOC100852895
Vitvi00g00345,VIT_00s0267g00020,
Vitvi00g00346,VIT_00s0267g00030,LOC100852932
Vitvi00g00350,VIT_00s0267g00050,
Vitvi00g00351,VIT_00s0271g00020,
Vitvi00g00353,VIT_00s0271g00030,
Vitvi00g00354,VIT_00s0271g00040,LOC100261980
Vitvi00g00355,VIT_00s0271g00050,
Vitvi00g00356,VIT_00s0271g00080,LOC100255730
Vitvi00g00357,,LOC100853869
Vitvi00g00358,VIT_00s0271g00090,LOC100853750
Vitvi00g00359,VIT_00s0271g00100,
Vitvi00g00362,VIT_00s0275g00010,
Vitvi00g00369,VIT_00s0275g00060,
Vitvi00g00371,,LOC100264908
Vitvi00g00375,VIT_00s0276g00050,LOC104878285
Vitvi00g00375,VIT_00s0276g00050,LOC104877345
Vitvi00g00376,VIT_00s0276g00080,
Vitvi00g00382,VIT_00s0285g00080,LOC100255555
Vitvi00g00382,VIT_00s0285g00060,LOC100255555
Vitvi00g00382,VIT_00s0285g00070,LOC100255555
Vitvi00g00385,VIT_00s0286g00010,
Vitvi00g00386,VIT_00s0286g00020,LOC100264266
Vitvi00g00387,VIT_00s0286g00060,
Vitvi00g00389,VIT_00s0286g00120,LOC104878304
Vitvi00g00390,VIT_00s0286g00130,
Vitvi00g00391,VIT_00s0286g00140,LOC100254695
Vitvi00g00393,VIT_00s0287g00010,
Vitvi00g00394,VIT_00s0287g00020,LOC104878305
Vitvi00g00395,VIT_00s0287g00030,LOC100262620
Vitvi00g00395,VIT_00s0287g00040,LOC100262620
Vitvi00g00396,VIT_00s0287g00050,LOC104878306
Vitvi00g00397,VIT_00s0287g00080,LOC100255313
Vitvi00g00398,VIT_00s0287g00100,
Vitvi00g00401,VIT_00s0288g00010,LOC104877293
Vitvi00g00401,VIT_00s0288g00010,LOC100259743
Vitvi00g00402,VIT_00s0288g00020,LOC100264937
Vitvi00g00405,VIT_00s0288g00070,LOC104878310
Vitvi00g00407,VIT_00s0294g00020,LOC100252944
Vitvi00g00408,VIT_00s0294g00100,LOC100853164
Vitvi00g00409,VIT_00s0299g00010,
Vitvi00g00410,VIT_00s0299g00030,LOC100241255
Vitvi00g00411,VIT_00s0299g00050,LOC100853489
Vitvi00g00411,VIT_00s0299g00040,LOC100853489
Vitvi00g00413,VIT_00s0299g00060,LOC100253962
Vitvi00g00414,VIT_00s0299g00070,LOC100266043
Vitvi00g00416,VIT_00s0299g00090,LOC100853295
Vitvi00g00416,VIT_00s0299g00080,LOC100853295
Vitvi00g00417,VIT_00s0299g00100,LOC100246436
Vitvi00g00417,VIT_00s0299g00100,LOC104878315
Vitvi00g00418,VIT_00s0299g00110,LOC104878316
Vitvi00g00419,VIT_00s0302g00020,LOC100854282
Vitvi00g00420,VIT_00s0302g00030,
Vitvi00g00421,VIT_00s0302g00050,LOC100263551
Vitvi00g00425,VIT_16s0039g01250,LOC100246494
Vitvi00g00427,VIT_16s0039g01340,
Vitvi00g00430,VIT_00s0308g00020,LOC104878323
Vitvi00g00431,VIT_00s0309g00020,LOC100242100
Vitvi00g00432,VIT_00s0309g00080,
Vitvi00g00436,VIT_00s0316g00020,
Vitvi00g00437,,LOC104878326
Vitvi00g00438,,LOC104878327
Vitvi00g00443,VIT_00s0319g00060,LOC100852881
Vitvi00g00444,VIT_00s0327g00020,LOC100853703
Vitvi00g00444,VIT_00s0327g00020,LOC104878335
Vitvi00g00449,VIT_00s0327g00070,
Vitvi00g00452,VIT_00s0332g00050,
Vitvi00g00453,VIT_00s0332g00060,
Vitvi00g00454,VIT_00s0332g00130,
Vitvi00g00455,VIT_00s0332g00160,
Vitvi00g00456,VIT_00s0332g00170,
Vitvi00g00458,VIT_00s0335g00020,LOC104878339
Vitvi00g00460,VIT_00s0335g00050,
Vitvi00g00461,VIT_00s0335g00090,LOC104878340
Vitvi00g00465,VIT_00s0336g00010,LOC104878341
Vitvi00g00467,VIT_00s0336g00020,
Vitvi00g00468,VIT_00s0337g00010,LOC100262339
Vitvi00g00469,VIT_00s0337g00030,LOC100245195
Vitvi00g00470,VIT_00s0337g00040,LOC100250319
Vitvi00g00472,VIT_00s0337g00060,LOC100854440
Vitvi00g00473,VIT_00s0337g00080,LOC100248598
Vitvi00g00475,VIT_00s0337g00090,LOC100263025
Vitvi00g00476,VIT_00s0340g00040,LOC100262386
Vitvi00g00477,VIT_00s0340g00050,LOC100257176
Vitvi00g00477,VIT_00s0340g00060,LOC100257176
Vitvi00g00478,VIT_00s0340g00070,LOC100267547
Vitvi00g00479,VIT_00s0340g00080,LOC100245242
Vitvi00g00480,VIT_00s0340g00090,LOC100262280
Vitvi00g00481,VIT_00s0341g00010,LOC100264826
Vitvi00g00482,VIT_00s0341g00020,LOC100854867
Vitvi00g00483,VIT_00s0341g00030,LOC100257929
Vitvi00g00486,VIT_00s0341g00050,LOC104878347
Vitvi00g00487,VIT_00s0341g00040,LOC100263062
Vitvi00g00488,VIT_00s0341g00060,LOC100251036
Vitvi00g00489,VIT_00s0341g00070,LOC100247129
Vitvi00g00490,VIT_00s0341g00080,LOC100854906
Vitvi00g00491,VIT_00s0342g00030,
Vitvi00g00496,VIT_00s0342g00040,
Vitvi00g00500,VIT_00s0345g00010,
Vitvi00g00502,VIT_00s0347g00030,LOC100264749
Vitvi00g00503,VIT_00s0347g00040,LOC100249342
Vitvi00g00505,VIT_00s0347g00060,LOC100241174
Vitvi00g00506,VIT_00s0347g00080,LOC100246449
Vitvi00g00506,VIT_00s0347g00090,LOC100246449
Vitvi00g00508,VIT_00s0347g00110,LOC100254772
Vitvi00g00508,VIT_00s0347g00120,LOC100254772
Vitvi00g00513,VIT_00s0353g00020,LOC100266824
Vitvi00g00514,VIT_00s0353g00030,LOC100852997
Vitvi00g00515,VIT_00s0353g00050,LOC100853075
Vitvi00g00516,,LOC100853116
Vitvi00g00519,VIT_00s0353g00060,LOC100256534
Vitvi00g00523,VIT_00s0360g00010,
Vitvi00g00524,VIT_00s0360g00020,LOC100251038
Vitvi00g00525,VIT_00s0360g00040,LOC100240802
Vitvi00g00525,VIT_00s0360g00030,LOC100240802
Vitvi00g00526,VIT_00s0360g00050,LOC100245896
Vitvi00g00529,VIT_00s0361g00010,
Vitvi00g00529,VIT_00s0361g00020,
Vitvi00g00530,VIT_00s0361g00040,LOC100232981
Vitvi00g00531,VIT_00s0361g00050,LOC100258037
Vitvi00g00533,VIT_00s0361g00080,LOC100241484
Vitvi00g00535,VIT_00s0361g00090,LOC104878358
Vitvi00g00536,VIT_00s0361g00100,LOC100263747
Vitvi00g00537,VIT_00s0362g00010,LOC100263667
Vitvi00g00549,VIT_00s0369g00040,LOC100854108
Vitvi00g00551,VIT_00s0369g00050,
Vitvi00g00553,VIT_00s0370g00010,LOC100854175
Vitvi00g00554,VIT_00s0370g00020,LOC100854215
Vitvi00g00555,VIT_00s0370g00030,LOC100255024
Vitvi00g00555,VIT_00s0370g00040,LOC100255024
Vitvi00g00557,VIT_00s0370g00050,LOC100249879
Vitvi00g00558,VIT_00s0370g00090,LOC100854406
Vitvi00g00560,,LOC104878362
Vitvi00g00561,VIT_00s0371g00020,
Vitvi00g00561,VIT_00s0371g00030,
Vitvi00g00562,VIT_00s0371g00070,
Vitvi00g00562,VIT_00s0371g00080,
Vitvi00g00563,VIT_00s0371g00110,LOC100250715
Vitvi00g00564,VIT_00s0372g00010,LOC100854752
Vitvi00g00565,VIT_00s0372g00040,LOC100854717
Vitvi00g00568,VIT_00s0372g00070,LOC100854809
Vitvi00g00570,,LOC100255913
Vitvi00g00571,VIT_00s0373g00020,LOC100242284
Vitvi00g00573,VIT_00s0373g00040,LOC100260994
Vitvi00g00574,VIT_00s0373g00050,
Vitvi00g00575,VIT_00s0378g00020,LOC100267746
Vitvi00g00582,VIT_00s0384g00020,LOC100852481
Vitvi00g00584,,LOC100852596
Vitvi00g00586,VIT_00s0386g00010,LOC100254278
Vitvi00g00587,VIT_00s0386g00030,LOC100249180
Vitvi00g00589,VIT_00s0386g00040,LOC100266341
Vitvi00g00590,VIT_00s0386g00050,LOC100852777
Vitvi00g00591,VIT_00s0388g00030,LOC104878373
Vitvi00g00592,VIT_00s0388g00050,LOC100241718
Vitvi00g00592,VIT_00s0388g00060,LOC100241718
Vitvi00g00593,VIT_00s0388g00070,
Vitvi00g00595,VIT_00s0389g00010,LOC100853037
Vitvi00g00596,VIT_00s0389g00020,LOC100257386
Vitvi00g00598,VIT_00s0389g00040,LOC100852998
Vitvi00g00599,,LOC100853145
Vitvi00g00600,VIT_00s0391g00010,LOC100267177
Vitvi00g00601,VIT_00s0391g00020,LOC100853189
Vitvi00g00602,VIT_00s0391g00030,LOC104878376
Vitvi00g00603,VIT_00s0391g00040,LOC100250103
Vitvi00g00604,VIT_00s0391g00050,LOC100853304
Vitvi00g00605,VIT_00s0391g00060,LOC100244969
