new,old,loc
Vitvi05g01925,VIT_05s0049g00320,
Vitvi05g01926,VIT_05s0049g00330,
Vitvi05g01927,VIT_05s0049g00340,
Vitvi05g01928,VIT_05s0049g00390,LOC100259642
Vitvi05g01929,VIT_05s0049g00400,LOC100232930
Vitvi05g01930,VIT_05s0049g00410,LOC104879286
Vitvi05g01931,VIT_05s0049g00520,LOC100232882
Vitvi05g01932,VIT_05s0049g00540,
Vitvi05g01933,VIT_05s0049g00550,LOC100240909
Vitvi05g01934,VIT_05s0049g00570,
Vitvi05g01935,VIT_05s0049g00580,LOC104879309
Vitvi05g01936,VIT_05s0049g00590,
Vitvi05g01937,VIT_05s0049g00600,
Vitvi05g01938,VIT_05s0049g00610,
Vitvi05g01939,VIT_05s0049g00620,
Vitvi05g01940,VIT_05s0049g00660,LOC100252896
Vitvi05g01941,VIT_05s0049g00680,
Vitvi05g01942,VIT_05s0049g00690,
Vitvi05g01943,VIT_05s0049g00720,LOC100242646
Vitvi05g01944,VIT_05s0049g00730,LOC100254634
Vitvi05g01945,VIT_05s0049g00740,LOC100247822
Vitvi05g01946,VIT_05s0049g00760,LOC100233119
Vitvi05g01947,VIT_05s0049g00770,LOC100264738
Vitvi05g01948,VIT_05s0049g00780,LOC100244140
Vitvi05g01949,VIT_05s0049g00790,
Vitvi05g01950,VIT_05s0049g00800,LOC100259740
Vitvi05g01951,VIT_05s0049g00810,LOC100261279
Vitvi05g01952,VIT_05s0049g00830,LOC100266522
Vitvi05g01953,VIT_05s0049g00840,LOC100249526
Vitvi05g01954,VIT_05s0049g00880,
Vitvi05g01955,VIT_05s0049g00910,
Vitvi05g01956,VIT_05s0049g00940,LOC100257925
Vitvi05g01957,VIT_05s0049g00970,
Vitvi05g01958,VIT_05s0049g01050,LOC104879288
Vitvi05g01959,VIT_05s0049g01070,LOC100266592
Vitvi05g01960,VIT_05s0049g01080,LOC100261388
Vitvi05g01961,VIT_05s0049g01090,LOC100256292
Vitvi05g01962,VIT_05s0049g01100,LOC100251134
Vitvi05g01963,VIT_05s0049g01120,LOC100245995
Vitvi05g01964,,LOC104879289
Vitvi05g01965,VIT_05s0049g01340,LOC104879294
Vitvi05g01966,,LOC104879310
Vitvi05g01967,VIT_05s0049g01370,
Vitvi05g01968,,LOC104879311
Vitvi05g01969,VIT_05s0049g01510,
Vitvi05g01970,VIT_05s0049g01570,
Vitvi05g01971,VIT_05s0049g01580,
Vitvi05g01972,VIT_05s0049g01590,
Vitvi05g01973,VIT_05s0049g01600,
Vitvi05g01974,VIT_05s0049g01630,
Vitvi05g01975,VIT_05s0049g01640,
Vitvi05g01976,,LOC100853148
Vitvi05g01977,,LOC104879298
Vitvi05g01978,,LOC104879299
Vitvi05g01979,VIT_05s0049g01690,
Vitvi05g01980,VIT_05s0049g01730,LOC100252766
Vitvi05g01981,VIT_05s0049g01740,LOC100258050
Vitvi05g01982,VIT_05s0049g01920,
Vitvi05g01983,,LOC104879304
Vitvi05g01984,VIT_05s0049g02030,
Vitvi05g01985,VIT_05s0049g02040,
Vitvi05g01986,,LOC104879313
Vitvi05g01987,,LOC104879314
Vitvi05g01988,,LOC104879316
Vitvi05g01989,,LOC104879317
Vitvi05g01990,VIT_05s0049g02140,LOC100242665
Vitvi05g01990,VIT_05s0049g02130,LOC104879305
Vitvi05g01990,VIT_05s0049g02140,LOC104879305
Vitvi05g01990,VIT_05s0049g02130,LOC100242665
Vitvi05g01991,VIT_05s0049g02190,LOC104879306
Vitvi05g01992,VIT_05s0049g02200,
Vitvi05g01993,VIT_05s0049g02210,LOC100266501
Vitvi05g01994,,LOC100247768
Vitvi05g01995,,LOC100264945
Vitvi05g01996,,LOC100264920
Vitvi05g01997,VIT_05s0051g00020,
Vitvi05g01998,VIT_05s0051g00060,LOC100240804
Vitvi05g01999,,LOC104879320
Vitvi05g02000,,LOC104879331
Vitvi05g02001,VIT_05s0051g00130,LOC100852746
Vitvi05g02002,,LOC104879332
Vitvi05g02003,,LOC104879322
Vitvi05g02004,VIT_05s0051g00160,
Vitvi05g02005,VIT_05s0051g00190,LOC100266488
Vitvi05g02006,VIT_05s0051g00240,
Vitvi05g02007,VIT_05s0051g00280,LOC100264823
Vitvi05g02008,,LOC100244253
Vitvi05g02009,VIT_05s0051g00400,LOC100261265
Vitvi05g02010,,LOC104879325
Vitvi05g02011,,LOC104879333
Vitvi05g02012,VIT_05s0051g00520,LOC104879335
Vitvi05g02013,VIT_05s0051g00530,LOC104879336
Vitvi05g02014,VIT_05s0051g00600,
Vitvi05g02015,VIT_05s0051g00610,
Vitvi05g02016,,LOC104879328
Vitvi05g02017,VIT_05s0051g00680,LOC100257913
Vitvi05g02018,VIT_05s0051g00690,
Vitvi05g02019,VIT_05s0051g00700,LOC100252761
Vitvi05g02020,,LOC104879337
Vitvi05g02021,VIT_05s0051g00730,LOC100247656
Vitvi05g02022,VIT_05s0051g00770,
Vitvi05g02023,,LOC104879339
Vitvi05g02024,,LOC104879341
Vitvi05g02025,VIT_05s0051g00850,LOC100264807
Vitvi05g02026,VIT_05s0051g00880,
Vitvi05g02027,VIT_05s0051g00900,
Vitvi05g02028,,LOC100266687
Vitvi05g02029,VIT_05s0051g00980,
Vitvi05g02030,,LOC104879343
Vitvi05g02031,VIT_05s0051g01060,
Vitvi05g02032,VIT_05s0051g01080,
Vitvi05g02033,VIT_05s0136g00040,
Vitvi05g02034,VIT_05s0136g00080,
Vitvi05g02035,VIT_05s0136g00090,
Vitvi05g02036,VIT_05s0136g00150,
Vitvi05g02037,,LOC104879350
Vitvi05g02038,VIT_05s0136g00210,LOC104879354
Vitvi05g02039,,LOC104879347
Vitvi05g02040,VIT_05s0136g00280,
Vitvi05g02041,VIT_05s0136g00300,
Vitvi05g02042,,LOC104879398
Vitvi05g02043,,LOC104879397
Vitvi05g02044,VIT_05s0029g00110,LOC100250255
Vitvi05g02044,VIT_05s0029g00120,LOC100250255
Vitvi05g02045,,LOC104879374
Vitvi05g02046,VIT_05s0029g00220,
Vitvi05g02047,VIT_05s0029g00320,
Vitvi05g02048,,LOC100250260
Vitvi05g02049,VIT_05s0029g00370,LOC100259013
Vitvi05g02050,VIT_05s0029g00380,
Vitvi05g02051,VIT_05s0029g00510,
Vitvi05g02052,VIT_05s0029g00520,
Vitvi05g02053,VIT_05s0029g00560,
Vitvi05g02054,VIT_05s0029g00570,
Vitvi05g02055,VIT_05s0029g00580,
Vitvi05g02056,VIT_05s0029g00640,LOC100245254
Vitvi05g02057,VIT_05s0029g00720,LOC104879369
Vitvi05g02058,VIT_05s0029g00740,LOC104877384
Vitvi05g02059,VIT_05s0029g00750,LOC104879393
Vitvi05g02060,VIT_05s0029g00760,
Vitvi05g02061,VIT_05s0029g00770,
Vitvi05g02062,VIT_05s0029g00790,
Vitvi05g02063,VIT_05s0029g00800,
Vitvi05g02064,,LOC104879368
Vitvi05g02065,,LOC104877426
Vitvi05g02066,,LOC104877294
Vitvi05g02067,,LOC100265332
Vitvi05g02068,VIT_05s0029g00880,LOC100854464
Vitvi05g02069,,LOC104879387
Vitvi05g02070,,LOC104879386
Vitvi05g02071,VIT_05s0029g00940,
Vitvi05g02072,,LOC100247011
Vitvi05g02072,,LOC104877443
Vitvi05g02072,,LOC104879379
Vitvi05g02073,VIT_05s0029g00970,
Vitvi05g02074,VIT_05s0029g01000,LOC104879362
Vitvi05g02075,VIT_05s0029g01050,
Vitvi05g02076,VIT_05s0029g01110,LOC104879384
Vitvi05g02077,VIT_05s0029g01130,LOC100245116
Vitvi05g02078,,LOC100267530
Vitvi05g02079,VIT_05s0029g01310,LOC100253856
Vitvi05g02080,VIT_05s0029g01360,
Vitvi05g02081,VIT_05s0029g01390,
Vitvi05g02082,VIT_05s0029g01410,LOC100250447
Vitvi05g02083,,LOC100245320
Vitvi05g02084,VIT_05s0029g01420,LOC100258983
Vitvi05g02085,VIT_05s0029g01430,
Vitvi05g02086,VIT_05s0029g01440,
Vitvi05g02087,VIT_05s0029g01450,
Vitvi05g02088,,LOC104879383
Vitvi05g02089,VIT_05s0029g01470,
Vitvi05g02090,VIT_05s0029g01490,LOC104879358
Vitvi05g02090,VIT_05s0029g01490,LOC104879382
Vitvi05g02091,,LOC104879356
Vitvi05g02092,,LOC104879381
Vitvi05g02093,VIT_05s0029g01510,
Vitvi05g02094,VIT_05s0029g01530,
Vitvi05g02095,,LOC104879380
Vitvi05g02096,VIT_05s0029g01540,LOC104879355
Vitvi05g02097,VIT_05s0029g01580,
Vitvi05g02098,,LOC104879399
Vitvi05g02098,,LOC104879400
Vitvi05g02099,VIT_05s0062g00010,LOC100253825
Vitvi05g02100,VIT_05s0062g00020,LOC100246886
Vitvi05g02101,VIT_05s0062g00060,
Vitvi05g02102,VIT_05s0062g00340,
Vitvi05g02103,VIT_05s0062g00350,LOC100265917
Vitvi05g02104,VIT_05s0062g00370,
Vitvi05g02105,,LOC104879407
Vitvi05g02106,,LOC104879408
Vitvi05g02107,VIT_05s0062g00450,
Vitvi05g02108,VIT_05s0062g00480,LOC100232905
Vitvi05g02109,VIT_05s0062g00510,
Vitvi05g02110,,LOC104879410
Vitvi05g02111,VIT_05s0062g00610,LOC100263523
Vitvi05g02112,VIT_05s0062g00620,LOC104879411
Vitvi05g02113,,LOC104879412
Vitvi05g02114,VIT_05s0062g00670,
Vitvi05g02115,VIT_05s0062g00730,
Vitvi05g02116,VIT_05s0062g00740,LOC100242998
Vitvi05g02117,VIT_05s0062g00800,
Vitvi05g02118,,LOC104879414
Vitvi05g02119,VIT_05s0062g00990,
Vitvi05g02120,VIT_05s0062g01090,LOC100242907
Vitvi05g02121,,LOC100254977
Vitvi05g02122,VIT_05s0062g01260,LOC100244617
Vitvi05g02123,VIT_05s0062g01270,LOC100248024
Vitvi05g02124,VIT_05s0062g01360,LOC100244608
Vitvi05g02125,VIT_05s0062g01390,LOC104879416
Vitvi05g02126,VIT_05s0062g01400,
Vitvi05g02127,VIT_05s0062g01410,LOC104879417
Vitvi05g02128,,LOC100253229
Vitvi05g02129,,LOC104879418
Vitvi05g02130,VIT_05s0124g00050,
Vitvi05g02131,VIT_05s0124g00070,LOC100246269
Vitvi05g02132,,LOC104879419
Vitvi05g02133,,LOC104879427
Vitvi05g02134,,LOC104879420
Vitvi05g02135,VIT_05s0124g00250,LOC100263501
Vitvi05g02136,VIT_05s0124g00260,
Vitvi05g02137,VIT_05s0124g00520,
Vitvi05g02138,VIT_05s0124g00530,LOC104879421
Vitvi05g02139,VIT_05s0124g00560,LOC100855157
Vitvi05g02140,VIT_05s0124g00590,
Vitvi05g02141,VIT_05s0124g00600,
Vitvi05g02142,VIT_05s0124g00620,
Vitvi05g02143,VIT_05s0124g00630,
Vitvi05g02144,VIT_05s0124g00660,
Vitvi05g02145,VIT_05s0124g00670,LOC100244599
Vitvi05g02146,VIT_05s0124g00680,LOC104879432
Vitvi05g02147,VIT_05s0124g00690,
Vitvi05g02148,,LOC104879433
Vitvi05g02149,,LOC100263498
Vitvi05g02150,,LOC104879434
Vitvi05g02151,,LOC104879436
Vitvi05g02152,VIT_05s0165g00020,
Vitvi05g02153,VIT_05s0165g00060,LOC104879440
Vitvi05g02154,,LOC104879441
Vitvi05g02155,VIT_05s0165g00070,
Vitvi05g02156,,LOC104879437
Vitvi05g02157,VIT_05s0165g00090,LOC104879438
Vitvi05g02158,VIT_05s0165g00100,
Vitvi05g02159,,LOC104879443
Vitvi05g02160,VIT_05s0165g00140,LOC104879444
Vitvi05g02161,,LOC104879446
Vitvi05g02162,VIT_05s0165g00150,
Vitvi05g02163,VIT_05s0165g00170,
Vitvi05g02164,VIT_05s0165g00240,
Vitvi05g02165,VIT_05s0165g00250,
Vitvi05g02166,,LOC104879447
Vitvi05g02167,,LOC104879448
Vitvi05g02168,VIT_05s0165g00270,LOC100252474
Vitvi05g02169,VIT_05s0165g00280,
Vitvi05g02170,VIT_05s0165g00290,LOC104879449
Vitvi05g02171,VIT_05s0102g00020,
Vitvi05g02172,VIT_05s0102g00030,LOC104879450
Vitvi05g02173,VIT_05s0102g00040,
Vitvi05g02174,VIT_05s0102g00050,LOC104879472
Vitvi05g02175,VIT_05s0102g00140,
Vitvi05g02176,VIT_05s0102g00180,
Vitvi05g02177,VIT_05s0102g00280,
Vitvi05g02178,VIT_05s0102g00430,LOC100854910
Vitvi05g02179,VIT_05s0102g00470,LOC100249265
Vitvi05g02180,VIT_05s0102g00510,LOC104879454
Vitvi05g02180,VIT_05s0102g00510,LOC104879455
Vitvi05g02181,VIT_05s0102g00530,
Vitvi05g02182,VIT_05s0102g00540,LOC104879473
Vitvi05g02183,VIT_05s0102g00550,LOC100243941
Vitvi05g02184,VIT_05s0102g00590,LOC104879456
Vitvi05g02185,VIT_05s0102g00600,
Vitvi05g02186,VIT_05s0102g00610,
Vitvi05g02187,VIT_05s0102g00620,
Vitvi05g02188,VIT_05s0102g00630,LOC104879457
Vitvi05g02189,VIT_05s0102g00640,LOC100261230
Vitvi05g02190,VIT_05s0102g00660,LOC104879458
Vitvi05g02191,VIT_05s0102g00670,
Vitvi05g02192,VIT_05s0102g00680,LOC100256145
Vitvi05g02193,VIT_05s0102g00740,
Vitvi05g02194,VIT_05s0102g00770,LOC100247353
Vitvi05g02195,VIT_05s0102g00780,LOC104879474
Vitvi05g02196,VIT_05s0102g00790,LOC104879475
Vitvi05g02197,VIT_05s0102g00800,LOC104879477
Vitvi05g02198,VIT_05s0102g00810,LOC104879460
Vitvi05g02199,VIT_05s0102g00820,
Vitvi05g02200,,LOC104879479
Vitvi05g02201,VIT_05s0102g00830,LOC104879459
Vitvi05g02202,VIT_05s0102g00850,
Vitvi05g02203,VIT_05s0102g00870,LOC104879463
Vitvi05g02204,,LOC100256119
Vitvi05g02205,,LOC104879480
Vitvi05g02206,,LOC104879481
Vitvi05g02207,VIT_05s0102g00900,LOC100252444
Vitvi05g02208,VIT_05s0102g00920,LOC100242192
Vitvi05g02209,VIT_05s0102g00940,LOC104879464
Vitvi05g02210,VIT_05s0102g00950,LOC104879482
Vitvi05g02211,,LOC104879483
Vitvi05g02212,VIT_05s0102g00970,LOC100241320
Vitvi05g02213,,LOC104879484
Vitvi05g02214,VIT_05s0102g01000,LOC104879485
Vitvi05g02215,VIT_05s0102g01010,LOC100852897
Vitvi05g02216,VIT_05s0102g01020,
Vitvi05g02217,VIT_05s0102g01030,LOC104879486
Vitvi05g02218,,LOC104879466
Vitvi05g02219,VIT_05s0102g01040,LOC104879487
Vitvi05g02220,,LOC104879488
Vitvi05g02221,,LOC104879489
Vitvi05g02222,VIT_05s0102g01060,LOC100259295
Vitvi05g02223,,LOC104879490
Vitvi05g02224,,LOC104879491
Vitvi05g02225,,LOC104879467
Vitvi05g02226,,LOC100852873
Vitvi05g02227,,LOC104879468
Vitvi05g02228,,LOC100852910
Vitvi05g02229,VIT_05s0102g01070,
Vitvi05g02230,VIT_05s0102g01080,
Vitvi05g02231,VIT_05s0102g01090,
Vitvi05g02232,VIT_05s0102g01100,LOC104879469
Vitvi05g02233,VIT_05s0102g01130,LOC100261035
Vitvi05g02234,,LOC104879470
Vitvi05g02235,,LOC100854360
Vitvi05g02236,VIT_00s0226g00050,
Vitvi05g02237,VIT_00s0226g00080,
Vitvi05g02238,VIT_00s0226g00170,LOC104878214
Vitvi05g02239,VIT_05s0094g00090,LOC100264616
Vitvi05g02240,VIT_05s0094g00160,
Vitvi05g02241,VIT_05s0094g00170,
Vitvi05g02242,VIT_05s0094g00180,
Vitvi05g02243,VIT_05s0094g00190,
Vitvi05g02244,VIT_05s0094g00210,
Vitvi05g02245,VIT_05s0094g00250,LOC100247444
Vitvi05g02246,,LOC100242308
Vitvi05g02247,VIT_05s0094g00270,LOC100268127
Vitvi05g02248,VIT_05s0094g00290,LOC100254301
Vitvi05g02249,VIT_05s0094g00330,LOC100252703
Vitvi05g02250,VIT_05s0094g00350,LOC100268106
Vitvi05g02251,VIT_05s0094g00360,LOC100232911
Vitvi05g02252,VIT_05s0094g00380,LOC100855070
Vitvi05g02253,VIT_05s0094g00550,
Vitvi05g02254,VIT_05s0094g00560,
Vitvi05g02255,VIT_05s0094g00570,
Vitvi05g02256,VIT_05s0094g00590,
Vitvi05g02257,VIT_05s0094g00620,
Vitvi05g02258,,LOC104879506
Vitvi05g02259,VIT_05s0094g00700,
Vitvi05g02260,VIT_05s0094g00720,
Vitvi05g02261,,LOC104879493
Vitvi05g02262,VIT_05s0094g00890,LOC100247455
Vitvi05g02263,,LOC104879494
Vitvi05g02264,VIT_05s0094g01010,LOC104877314
Vitvi05g02265,,LOC104879508
Vitvi05g02266,VIT_05s0094g01040,
Vitvi05g02267,VIT_05s0094g01130,LOC100250942
Vitvi05g02268,VIT_05s0094g01160,LOC100268122
Vitvi05g02269,VIT_05s0094g01200,
Vitvi05g02270,,LOC104879496
Vitvi05g02271,VIT_05s0094g01280,LOC100247303
Vitvi05g02272,VIT_05s0094g01340,LOC100267940
Vitvi05g02273,VIT_05s0094g01350,LOC100262791
Vitvi05g02274,,LOC104879509
Vitvi05g02275,VIT_05s0094g01380,LOC100242287
Vitvi05g02276,VIT_05s0094g01400,LOC100259405
Vitvi05g02277,,LOC104879499
Vitvi05g02278,VIT_05s0094g01440,LOC104879500
Vitvi05g02279,VIT_05s0094g01530,
Vitvi05g02280,VIT_05s0094g01650,
Vitvi05g02281,VIT_05s0094g01690,
Vitvi05g02282,VIT_05s0094g01700,
Vitvi05g02283,VIT_05s0094g01710,
Vitvi05g02284,VIT_00s0914g00010,LOC104878547
Vitvi05g02285,,LOC104878584
Vitvi05g02286,VIT_00s1313g00010,LOC100256229
Vitvi05g02286,VIT_00s1313g00020,LOC100256229
Vitvi05g02289,,LOC100854933
Vitvi05g02290,VIT_00s1663g00010,
Vitvi05g02292,VIT_00s2082g00010,LOC100266439
Vitvi05g02293,VIT_00s2171g00010,LOC100243464
Vitvi05g02294,VIT_00s2178g00010,LOC104878672
Vitvi05g02296,VIT_00s2301g00010,
Vitvi05g02297,,LOC100853251
Vitvi06g00002,VIT_06s0004g00010,
Vitvi06g00007,VIT_06s0004g00020,LOC100263939
Vitvi06g00008,VIT_06s0004g00030,LOC100241662
Vitvi06g00009,VIT_06s0004g00040,LOC100246785
Vitvi06g00011,,LOC100251915
Vitvi06g00012,VIT_06s0004g00050,LOC100257047
Vitvi06g00013,VIT_06s0004g00060,LOC100262157
Vitvi06g00016,VIT_06s0004g00070,LOC100267326
Vitvi06g00017,VIT_06s0004g00090,LOC100245011
Vitvi06g00017,VIT_06s0004g00080,LOC100245011
Vitvi06g00018,VIT_06s0004g00100,LOC100250144
Vitvi06g00019,VIT_06s0004g00110,LOC100245017
Vitvi06g00020,VIT_06s0004g00120,LOC100250148
Vitvi06g00021,VIT_06s0004g00130,LOC100255318
Vitvi06g00022,VIT_06s0004g00140,LOC100255312
Vitvi06g00024,VIT_06s0004g00150,LOC100260393
Vitvi06g00026,VIT_06s0004g00160,LOC100260398
Vitvi06g00027,VIT_06s0004g00170,LOC100265613
Vitvi06g00028,VIT_06s0004g00190,LOC100248427
Vitvi06g00029,VIT_06s0004g00200,LOC100253534
Vitvi06g00030,VIT_06s0004g00210,LOC100265607
Vitvi06g00031,VIT_06s0004g00220,LOC100258679
Vitvi06g00032,VIT_06s0004g00240,LOC100263832
Vitvi06g00033,VIT_06s0004g00260,LOC100241562
Vitvi06g00034,VIT_06s0004g00280,
Vitvi06g00034,VIT_06s0004g00270,
Vitvi06g00034,VIT_06s0004g00290,
Vitvi06g00035,VIT_06s0004g00300,LOC100253527
Vitvi06g00036,VIT_06s0004g00310,
Vitvi06g00037,,LOC100263825
Vitvi06g00039,VIT_06s0004g00340,LOC104879636
Vitvi06g00040,VIT_06s0004g00350,
Vitvi06g00041,VIT_06s0004g00360,LOC100251826
Vitvi06g00042,VIT_06s0004g00370,
Vitvi06g00043,VIT_06s0004g00400,LOC100262063
Vitvi06g00044,VIT_06s0004g00410,LOC100267227
Vitvi06g00045,VIT_06s0004g00420,LOC100244915
Vitvi06g00046,VIT_06s0004g00430,LOC100258776
Vitvi06g00047,VIT_06s0004g00440,LOC100250052
Vitvi06g00048,VIT_06s0004g00450,LOC100263945
Vitvi06g00049,VIT_06s0004g00460,LOC100267325
Vitvi06g00050,VIT_06s0004g00470,LOC100255213
Vitvi06g00051,VIT_06s0004g00480,LOC100260286
Vitvi06g00052,VIT_06s0004g00490,LOC100245016
Vitvi06g00053,VIT_06s0004g00500,LOC100265730
Vitvi06g00054,VIT_06s0004g00530,
Vitvi06g00058,VIT_06s0004g00550,LOC100248426
Vitvi06g00058,VIT_06s0004g00560,LOC100248426
Vitvi06g00059,VIT_06s0004g00570,LOC100232973
Vitvi06g00060,VIT_06s0004g00580,LOC100253532
Vitvi06g00061,VIT_06s0004g00590,LOC100248535
Vitvi06g00062,VIT_06s0004g00600,LOC100253639
Vitvi06g00063,VIT_06s0004g00610,LOC100263831
Vitvi06g00064,VIT_06s0004g00620,LOC100241560
Vitvi06g00066,VIT_06s0004g00630,
Vitvi06g00066,VIT_06s0004g00640,
Vitvi06g00067,VIT_06s0004g00650,
Vitvi06g00068,VIT_06s0004g00660,
Vitvi06g00069,,LOC100267225
Vitvi06g00070,VIT_06s0004g00680,LOC100853477
Vitvi06g00071,VIT_06s0004g00690,LOC100250050
Vitvi06g00072,VIT_06s0004g00700,LOC100258782
Vitvi06g00073,VIT_06s0004g00710,LOC100263951
Vitvi06g00074,VIT_06s0004g00720,LOC100255211
Vitvi06g00075,VIT_06s0004g00730,LOC104879594
Vitvi06g00076,VIT_06s0004g00760,LOC100251923
Vitvi06g00077,VIT_06s0004g00770,LOC100257056
Vitvi06g00078,VIT_06s0004g00780,
Vitvi06g00079,VIT_06s0004g00790,LOC100258779
Vitvi06g00083,VIT_06s0004g00810,LOC100257055
Vitvi06g00084,VIT_06s0004g00820,LOC100262162
Vitvi06g00085,VIT_06s0004g00830,LOC100262164
Vitvi06g00086,VIT_06s0004g00850,LOC100250155
Vitvi06g00086,VIT_06s0004g00840,LOC100250155
Vitvi06g00087,VIT_06s0004g00860,LOC100255323
Vitvi06g00088,,LOC100243306
Vitvi06g00089,VIT_06s0004g00880,LOC100267331
Vitvi06g00091,VIT_06s0004g00890,LOC100253539
Vitvi06g00092,VIT_06s0004g00900,LOC100245022
Vitvi06g00093,VIT_06s0004g00910,LOC100263837
Vitvi06g00094,VIT_06s0004g00920,LOC100241567
Vitvi06g00095,VIT_06s0004g00930,LOC100246694
Vitvi06g00096,VIT_06s0004g00940,LOC100250156
Vitvi06g00097,VIT_06s0004g00950,LOC100251829
Vitvi06g00098,,LOC100256960
Vitvi06g00100,VIT_06s0004g01060,LOC100253645
Vitvi06g00101,VIT_06s0004g01070,LOC100256961
Vitvi06g00102,VIT_06s0004g01080,LOC100258788
Vitvi06g00104,VIT_06s0004g01090,LOC100263956
Vitvi06g00105,VIT_06s0004g01100,LOC100241679
Vitvi06g00106,VIT_06s0004g01110,LOC100262068
Vitvi06g00107,VIT_06s0004g01120,LOC100244919
Vitvi06g00108,VIT_06s0004g01130,LOC100267231
Vitvi06g00109,,LOC100250058
Vitvi06g00110,VIT_06s0004g01160,LOC100255218
Vitvi06g00111,VIT_06s0004g01180,LOC100260291
Vitvi06g00112,VIT_06s0004g01190,LOC100265513
Vitvi06g00113,VIT_06s0004g01200,LOC100232893
Vitvi06g00114,VIT_06s0004g01210,LOC100248543
Vitvi06g00115,VIT_06s0004g01220,LOC100257060
Vitvi06g00116,VIT_06s0004g01230,LOC104879633
Vitvi06g00117,,LOC104879591
Vitvi06g00118,VIT_06s0004g01240,LOC100253646
Vitvi06g00119,VIT_06s0004g01250,LOC100258789
Vitvi06g00120,VIT_06s0004g01260,LOC100260408
Vitvi06g00121,VIT_06s0004g01270,LOC100265625
Vitvi06g00123,VIT_06s0004g01290,LOC100263958
Vitvi06g00124,VIT_06s0004g01300,LOC100253545
Vitvi06g00125,VIT_06s0004g01310,LOC100241680
Vitvi06g00126,VIT_06s0004g01320,LOC100258687
Vitvi06g00128,VIT_06s0004g01330,LOC100241570
Vitvi06g00129,VIT_06s0004g01340,LOC100251931
Vitvi06g00130,VIT_06s0004g01350,LOC100257061
Vitvi06g00132,VIT_06s0004g01360,LOC100246701
Vitvi06g00133,VIT_06s0004g01370,LOC100251835
Vitvi06g00134,VIT_06s0004g01380,LOC100262073
Vitvi06g00136,VIT_06s0004g01390,
Vitvi06g00137,VIT_06s0004g01400,LOC100250062
Vitvi06g00138,,LOC100260297
Vitvi06g00139,VIT_06s0004g01410,LOC104879589
Vitvi06g00139,VIT_06s0004g01410,LOC100248545
Vitvi06g00140,,LOC104879588
Vitvi06g00141,VIT_06s0004g01420,LOC100250160
Vitvi06g00143,,LOC100260409
Vitvi06g00145,VIT_06s0004g01430,LOC100267338
Vitvi06g00148,VIT_06s0004g01440,LOC100255329
Vitvi06g00149,VIT_06s0004g01450,LOC100241684
Vitvi06g00150,VIT_06s0004g01460,LOC100251934
Vitvi06g00153,VIT_06s0004g01470,LOC100262173
Vitvi06g00155,VIT_06s0004g01480,LOC100255333
Vitvi06g00156,VIT_06s0004g01500,
Vitvi06g00158,VIT_06s0004g01510,LOC100243312
Vitvi06g00159,VIT_06s0004g01520,LOC100260415
Vitvi06g00160,VIT_06s0004g01530,LOC100265632
Vitvi06g00161,VIT_06s0004g01540,LOC100245027
Vitvi06g00162,VIT_06s0004g01550,LOC100265626
Vitvi06g00163,VIT_06s0004g01560,LOC100253550
Vitvi06g00164,VIT_06s0004g01580,LOC104879631
Vitvi06g00164,VIT_06s0004g01590,LOC104879631
Vitvi06g00165,VIT_06s0004g01600,LOC104879584
Vitvi06g00166,VIT_06s0004g01610,LOC100248434
Vitvi06g00167,VIT_06s0004g01630,LOC100267241
Vitvi06g00169,VIT_06s0004g01640,LOC100244929
Vitvi06g00170,VIT_06s0004g01650,LOC100250068
Vitvi06g00171,,LOC104879630
Vitvi06g00172,VIT_06s0004g01670,LOC100260304
Vitvi06g00173,VIT_06s0004g01680,LOC100265521
Vitvi06g00175,VIT_06s0004g01690,LOC100253546
Vitvi06g00177,VIT_06s0004g01700,LOC100243206
Vitvi06g00178,VIT_06s0004g01710,LOC100258688
Vitvi06g00179,VIT_06s0004g01720,LOC100263843
Vitvi06g00180,VIT_06s0004g01730,LOC100248335
Vitvi06g00181,VIT_06s0004g01740,LOC100253656
Vitvi06g00182,VIT_06s0004g01750,LOC100241571
Vitvi06g00184,VIT_06s0004g01770,LOC100246702
Vitvi06g00185,VIT_06s0004g01780,LOC100241690
Vitvi06g00186,VIT_06s0004g01790,LOC100251836
Vitvi06g00187,VIT_06s0004g01800,LOC100256966
Vitvi06g00188,VIT_06s0004g01810,LOC100262074
Vitvi06g00189,VIT_06s0004g01820,LOC100267237
Vitvi06g00191,VIT_06s0004g01830,LOC100246807
Vitvi06g00192,VIT_06s0004g01840,
Vitvi06g00193,VIT_06s0004g01860,LOC100250064
Vitvi06g00195,VIT_06s0004g01870,LOC100245035
Vitvi06g00198,VIT_06s0004g01880,LOC100255222
Vitvi06g00199,VIT_06s0004g01890,LOC100265637
Vitvi06g00200,VIT_06s0004g01900,
Vitvi06g00201,VIT_06s0004g01910,LOC100260298
Vitvi06g00202,VIT_06s0004g01920,LOC100248441
Vitvi06g00203,VIT_06s0004g01930,LOC100265517
Vitvi06g00204,VIT_06s0004g02020,LOC104879583
Vitvi06g00205,VIT_06s0004g02030,LOC100248547
Vitvi06g00206,VIT_06s0004g02040,LOC100243203
Vitvi06g00207,VIT_06s0004g02050,LOC100244935
Vitvi06g00210,VIT_06s0004g02060,LOC100253650
Vitvi06g00211,VIT_06s0004g02070,LOC100260310
Vitvi06g00212,VIT_06s0004g02090,LOC100258794
